Agricultural Equipment	optgroup
            bonsai-scissors	1132
            bonsai-soil-scoops	1133
            bonsai-soil-sieves	1134
            bonsai-spatulas	1135
            bonsai-tool-sets	1136
            bonsai-trunk-splitters	1137
            bonsai-turntables	1138
            bonsai-tweezers	1139

        garden-forks	1140
        garden-hoes	1141
        gardening-trowels	1142
        hand-edgers	1143
        hand-grass-shears	1144
        hand-loppers	1145
        hand-operated-aerators	1146
        hand-operated-dethatchers	1147
        hand-pole-saws	1148
        hand-pruners	1149
        hand-spades	1150
        hand-spreaders	1151
        hand-tillers	1152
        hand-weeders	1153
        hedge-shears	1154

        lawn-and-garden-hand-sprayers	1155
            hose-sprayers	1156
            manual-compression-sprayers	1157

        machetes	1158

        rakes	1159
            garden-rakes	1160
            harrow-rakes	1161
            hitch-hay-rakes	1162
            landscape-rakes	1163

        shovels	1164
            grain-shovels	1165
            irrigating-shovels	1166
            rice-shovels	1167
            scoop-shovels	1168

    lawn-and-garden-power-tools	1169
        lawn-and-garden-blower-vacs	1170
        lawn-and-garden-chippers	1171
        lawn-and-garden-power-sprayers	1172
        leaf-shredders	1173
        power-aerators	1174
        power-cultivators	1175
        power-edgers	1176
        power-hedge-trimmers	1177
        power-mulchers	1178
        power-pole-saws	1179
        power-tillers	1180
        string-trimmers	1181

    lawn-and-garden-tool-accessories	1182

        blower-and-vac-accessories	1183

        lawn-and-garden-sprayer-accessories	1184
            lawn-and-garden-sprayer-nozzles	1185
            lawn-and-garden-sprayer-pumps	1186
            lawn-and-garden-sprayer-tanks	1187

        lawn-mower-accessories	1188
            grass-catchers	1189
            grass-deflectors	1190
            lawn-mower-blade-sharpeners	1191
            lawn-mower-covers	1192
            lawn-mower-engine-oil	1193
            lawn-mower-seats	1194
            lawn-mower-sharpening-tools	1195
            lawn-mower-steering-wheel-spinner-knobs	1196
            lawn-mower-tune-up-kits	1197
            mulch-kits	1198

        pole-saw-accessories	1199
            pole-saw-blades	1200
            pole-saw-extensions	1201

        power-edger-accessories	1202

        string-trimmer-accessories	1203
            string-heads	1204

    lawn-and-garden-tool-parts	1205

        lawn-mower-parts	1206
            lawn-mower-air-filters	1207

            lawn-mower-battery-parts	1208
                lawn-mower-battery-cables	1209
                lawn-mower-battery-fuse-holders	1210
                lawn-mower-battery-fuses	1211
                lawn-mower-battery-terminals	1212

            lawn-mower-bearings	1213
            lawn-mower-belts	1214
            lawn-mower-blades	1215

                lawn-mower-mulching-blades	1216

            lawn-mower-bushings	1217
            lawn-mower-chain-guards	1218
            lawn-mower-deck-parts	1219
            lawn-mower-electric-clutches	1220
            lawn-mower-fuel-lines	1221
            lawn-mower-gas-caps	1222
            lawn-mower-gas-tanks	1223
            lawn-mower-handle-parts	1224
            lawn-mower-hour-tachometers	1225
            lawn-mower-idlers	1226

                lawn-mower-flat-idlers	1227
                lawn-mower-v-idlers	1228

            lawn-mower-key-switches	1229
            lawn-mower-mufflers	1230
            lawn-mower-oil-filters	1231
            lawn-mower-pulleys	1232
            lawn-mower-recoil-springs	1233
            lawn-mower-solenoids	1234
            lawn-mower-spark-plugs	1235
            lawn-mower-starter-keys	1236
            lawn-mower-throttle-controls	1237
            lawn-mower-tie-rod-ends	1238
            lawn-mower-tires	1239
            lawn-mower-transmission-filters	1240
            lawn-mower-wheel-rims	1241
            lawn-mower-wheels	1242

        power-edger-parts	1243
            power-edger-belts	1244
            power-edger-blades	1245
            power-edger-lines	1246

    lawn-and-garden-towable-tools	1247
        tow-behind-aerators	1248
        tow-behind-carts	1249
        tow-behind-dethatchers	1250
        tow-behind-rakes	1251
        tow-behind-spreaders	1252
        tow-behind-tillers	1253

    lawn-and-garden-watering-equipment	1254

        automatic-lawn-watering-equipment	1255
            automatic-lawn-drip-irrigation-kits	1256
            automatic-lawn-irrigation-tubing	1257
            automatic-lawn-sprinklers-and-drippers	1258
            automatic-lawn-underground-sprinkler-systems	1259
            automatic-lawn-watering-equipment-accessories	1260

        garden-hose-carts	1261
        garden-hose-parts	1262
        garden-hose-reels	1263
        garden-hoses	1264
        hose-drip-systems	1265
        lawn-and-garden-sprinklers	1266

            decorative-lawn-and-garden-sprinklers	1267
            oscillator-lawn-and-garden-sprinklers	1268
            pulsator-lawn-and-garden-sprinklers	1269
            rotary-lawn-and-garden-sprinklers	1270
            stationary-lawn-and-garden-sprinklers	1271
            traveling-lawn-and-garden-sprinklers	1272

        outdoor-faucets	1273
        watering-cans	1274
        watering-nozzles	1275
        watering-timers	1276
        watering-wands	1277

    lawn-mowers	1278

        hand-push-mowers	1279
            hand-push-brush-mowers	1280
            hand-push-reel-mowers	1281

        riding-mowers	1282

        self-propelled-walk-behind-mowers	1283
            self-propelled-brush-mowers	1284
            self-propelled-finishing-mowers	1285

        tow-behind-mowers	1286
            tow-behind-brush-mowers	1287
            tow-behind-finishing-mowers	1288
            tow-behind-gang-reel-mowers	1289
            tow-behind-reel-mowers	1290

    lawn-tractors	1291

    snow-removal-tools	1292
        de-icers	1293
        salt-spreaders	1294
        snow-blowers	1295
        snow-rakes	1296
        snow-shovels	1297
        snow-throwers	1298
        snowplows	1299

tool-and-hardware-gift-certificates	1300

Plumbing Equipment	optgroup

general-hardware-and-construction-equipment	1301

    bathroom-hardware	1302
        tub-to-shower-converters	1303

    sanding-products	1304

pipe-wrenches	1305

plumbing-equipment	1306

    bathtubs	1307
        air-tubs	1308

        clawfoot-bathtubs	1309
            rolled-rim-clawfoot-bathtubs	1310
            slipper-clawfoot-bathtubs	1311

        soaking-tubs	1312

        whirlpool-bathtubs	1313
            corner-whirlpool-bathtubs	1314

    bidets	1315
    faucet-mount-water-filters	1316

    faucet-parts-and-attachments	1317
        faucet-aerators-and-adapters	1318
        faucet-and-valve-washers	1319
        faucet-cartridges	1320
        faucet-handles	1321

        faucet-kits	1322
            deck-flange-kits	1323
            faucet-handle-kits	1324
            faucet-sleeve-kits	1325
            faucet-spout-kits	1326
            faucet-trim-kits	1327

        faucet-o-rings	1328
        faucet-seats-and-springs	1329
        faucet-stems	1330

    faucets	1331

        bar-sink-faucets	1332
            single-handle-bar-sink-faucets	1333
            two-handle-bar-sink-faucets	1334

        bathroom-sink-faucets	1335
            single-handle-bathroom-sink-faucets	1336

            two-handle-bathroom-sink-faucets	1337
                two-handle-centerset-bathroom-sink-faucets	1338
                two-handle-widespread-bathroom-sink-faucets	1339

        bidet-faucets	1340
            over-the-rim-bidet-faucets	1341
            vertical-spray-bidet-faucets	1342

        kitchen-sink-faucets	1343
            single-handle-kitchen-sink-faucets	1344
            two-handle-kitchen-sink-faucets	1345

        tub-and-shower-faucets	1346

            shower-systems	1347
            single-handle-shower-only-faucets	1348
            single-handle-tub-and-shower-faucets	1349
            three-handle-tub-and-shower-faucets	1350
            tub-filler-faucets	1351
            two-handle-shower-only-faucets	1352
            two-handle-tub-and-shower-faucets	1353

        utility-sink-faucets	1354
            double-handle-utility-sink-faucets	1355
            single-handle-utility-sink-faucets	1356

    garbage-disposers	1357
    in-sink-soap-dispensers	1358
    one-piece-tub-and-shower-enclosures	1359
    plumbing-fixture-repair-supplies	1360

        pipe-fittings	1361
        pipes	1362
        plumbing-cements	1363
        plumbing-hoses	1364
        plumbing-primers	1365
        plumbing-repair-putties	1366
        plumbing-repair-sealers	1367
        plumbing-stops	1368
        plumbing-supply-lines	1369

    plumbing-tools	1370

        drain-and-pipe-cleaners	1371
        faucet-repair-tools	1372
        metal-pipe-cutters-and-threaders	1373
        pipe-flaring-tools	1374
        plungers	1375
        specialty-plumbing-tools	1376

    saunas	1377

    shower-bases	1378
        double-threshold-shower-bases	1379
        single-threshold-shower-bases	1380

    shower-doors	1381
        sliding-shower-doors	1382
        sliding-tub-enclosures	1383
        swing-shower-doors	1384

    shower-modules	1385
    shower-towers	1386
    shower-wall-surrounds	1387

    showerheads	1388
        body-sprays	1389
        hand-held-showers	1390

    showers	1391

    sink-and-drain-equipment	1392
        drain-cleaning-equipment	1393
        drain-tubes-and-fittings	1394
        pop-up-assemblies	1395
        sink-strainers	1396
        sink-washers	1397

    sinks	1398
        bar-sinks	1399

        bathroom-sinks	1400
            console-sinks	1401
            pedestal-sinks	1402
            wall-mounted-sinks	1403

        kitchen-sinks	1404

            double-bowl-sinks	1405
            single-bowl-sinks	1406
            triple-bowl-sinks	1407

        utility-sinks	1408

    steam-bath-equipment	1409
        steam-bath-controls	1410
        steam-baths	1411
        steam-generators	1412

    steam-showers	1413

    toilet-and-urinal-parts	1414
        ball-cocks	1415
        flush-valves	1416
        toilet-mounting-bolts-and-washers	1417
        toilet-repair-parts	1418
        toilet-tank-balls	1419
        toilet-tank-levers	1420

    toilet-seats	1421
        elongated-toilet-seats	1422
        novelty-toilet-seats	1423
        padded-toilet-seats	1424

    toilets	1425
        one-piece-toilets	1426
        two-piece-toilets	1427

    urinals	1428
    water-dispensers	1429
    water-heater-parts	1430
    water-heaters	1431
    water-softeners	1432

tool-and-hardware-gift-certificates	1433

Power Tool Accessories	optgroup

carbide-burs	1434
    aluminum-cut-carbide-burs	1435
    bear-cut-carbide-burs	1436
    carbide-bur-sets	1437

general-hardware-and-construction-equipment	1438

    hardware-staples	1439
        construction-staples	1440
        finish-staples	1441

    sanding-products	1442
        detail-sander-paper	1443
        sander-belts	1444
        sander-sleeves	1445
        sandpaper-rolls	1446
        sandpaper-sheets	1447

hss-burs	1448

power-tool-accessories	1449
    abrasive-wheels	1450

        abrasive-cutoff-wheels	1451
        chop-saw-wheels	1452
        masonry-grinding-wheels	1453
        metal-grinding-wheels	1454

    air-tool-accessories	1455

        air-compressor-accessories	1456
            air-compressor-filters	1457
            air-compressor-lubricators	1458
            air-compressor-pumps	1459
            air-compressor-regulators	1460

        air-nailer-accessories	1461
        air-tool-couplers	1462
        air-tool-fittings	1463
        air-tool-hose-reels	1464
        air-tool-hoses	1465
        air-tool-maintenance-kits	1466

    band-saw-accessories	1467

    chain-saw-accessories	1468
        chain-saw-chains	1469
        chain-sharpeners	1470

    circular-saw-accessories	1471

    collated-nails	1472
        brad-nails	1473
        collated-finish-nails	1474
        collated-framing-nails	1475
        collated-pinner-nails	1476
        collated-roofing-nails	1477
        collated-siding-nails	1478

    collated-screws	1479
    cordless-tool-accessories	1480

        cordless-drill-chucks	1481
        cordless-tool-battery-chargers	1482
        cordless-tool-battery-converters	1483
        cordless-tool-battery-packs	1484
        cordless-tool-fasteners	1485
        cordless-tool-saw-blades	1486

    drill-bits	1487
        aircraft-extension-drill-bits	1488
        boring-bits	1489
        brad-point-bits	1490
        center-drill-inserts	1491
        countersink-bits	1492
        drill-bit-sets	1493
        drill-blanks	1494
        forstner-bits	1495
        hex-shank-drill-bits	1496
        reduced-shank-drill-bits	1497
        round-shank-percussion-bits	1498
        sds-shank-bits	1499
        self-feed-bits	1500
        ship-auger-bits	1501
        spade-bits	1502
        spade-drill-holders	1503
        spade-drill-inserts	1504
        spline-shank-bits	1505
        stub-length-drill-bits	1506
        taper-shank-drill-bits	1507
        twist-bits	1508

    drill-chucks	1509
    drill-keys	1510
    drill-press-accessories	1511
    extensions-and-extension-stops	1512
    fume-and-smoke-extractor-accessories	1513
    fume-and-smoke-extractor-filters	1514
    fume-and-smoke-extractors	1515

    generator-accessories	1516
        generator-cord-sets-and-plugs	1517
        generator-covers	1518
        generator-transfer-switches	1519
        generator-wheel-kits	1520

    hole-saws	1521
    industrial-hot-plates	1522
    jamb-saw-accessories	1523

    jigs	1524
        circle-cutting-jigs	1525
        doorjamb-and-hinge-templates	1526
        dovetail-jigs	1527
        doweling-jigs	1528
        featherboards	1529
        honing-jigs	1530
        knife-setting-jigs	1531
        lock-boring-jigs	1532
        pocket-hole-jigs	1533
        sliding-miter-jigs	1534
        tapering-jigs	1535
        tenoning-jigs	1536

    joiner-biscuits	1537
    lathe-turning-tools	1538
    miter-saw-accessories	1539

    mobile-bases	1540
        band-saw-mobile-bases	1541
        drill-press-mobile-bases	1542
        jointer-mobile-bases	1543
        planer-mobile-bases	1544
        sander-mobile-bases	1545
        scroll-saw-mobile-bases	1546
        shaper-mobile-bases	1547
        table-saw-mobile-bases	1548
        universal-mobile-bases	1549

    polishing-pads-and-bonnets	1550
    power-drill-accessories	1551
    power-grinder-accessories	1552
    power-jig-saw-accessories	1553
    power-jointer-accessories	1554
    power-lathe-accessories	1555

        power-lathe-chucks	1556

    power-log-splitter-accessories	1557

    power-milling-machine-accessories	1558
        end-mills	1559

            ball-nose-end-mills	1560
            corner-radius-end-mills	1561
            corner-rounding-end-mills	1562
            tapered-end-mills	1563

        face-mills	1564

    power-planer-accessories	1565
    power-plate-joiner-accessories	1566
    power-rotary-tool-accessories	1567
    power-router-accessories	1568
    power-sander-accessories	1569

        sanding-frames	1570

    power-saw-accessories	1571

    power-saw-blades	1572
        band-saw-blades	1573
        circular-saw-blades	1574
        dado-saw-blades	1575
        diamond-blades	1576
        jig-saw-blades	1577
        jointer-knives	1578
        miter-saw-blades	1579
        plate-joiner-blades	1580
        power-planer-knives	1581
        reciprocating-saw-blades	1582
        scroll-saw-blades	1583
        table-saw-blades	1584

    power-shaper-accessories	1585

    power-soldering-accessories	1586
        heat-gun-solder-sleeves	1587
        heat-sink-compound	1588
        solder	1589

            solder-bar	1590
            solder-braid	1591
            solder-chips	1592
            solder-paste	1593
            solder-wire	1594

        solder-extraction-tools	1595
        solder-flux	1596
        solder-insertion-extraction-tools	1597
        solder-insertion-tools	1598
        solder-paste-syringes	1599
        solder-reel-holders	1600
        soldering-board-holders	1601
        soldering-cleaning-products	1602
        soldering-gun-replacement-parts	1603
        soldering-heat-sinks	1604
        soldering-iron-stands	1605
        soldering-iron-tip-adapters	1606

        soldering-iron-tips	1607
            soldering-iron-beveled-tips	1608
            soldering-iron-chisel-tips	1609
            soldering-iron-conical-tips	1610
            soldering-iron-knife-tips	1611
            soldering-iron-spade-tips	1612
            soldering-iron-tapered-needle-tips	1613
            soldering-iron-tip-sets	1614

        soldering-pot-accessories	1615
            soldering-pot-crucibles	1616
            soldering-pot-dross-collectors	1617
            soldering-pot-dross-skimmers	1618
            soldering-pot-sand-trays	1619

        soldering-pot-replacement-parts	1620
        soldering-tip-cleaners	1621
        soldering-tip-removers	1622
        soldering-tool-nozzles	1623

    power-tile-and-masonry-saw-accessories	1624
    power-tool-lubricants	1625

    power-tool-stands	1626
        band-saw-stands	1627
        drill-press-stands	1628
        jointer-stands	1629
        lathe-stands	1630
        miter-saw-stands	1631
        planer-stands	1632
        sander-stands	1633
        scroll-saw-stands	1634
        shaper-stands	1635
        table-saw-stands	1636
        tile-saw-stands	1637
        tripod-stands	1638
        universal-stands	1639

    pressure-washer-accessories	1640
        pressure-washer-carts	1641
        pressure-washer-cleaners	1642
        pressure-washer-couplers	1643
        pressure-washer-filters	1644
        pressure-washer-gauges	1645
        pressure-washer-heating-coils	1646
        pressure-washer-hose-reels	1647
        pressure-washer-hoses	1648
        pressure-washer-injectors	1649
        pressure-washer-nozzles	1650
        pressure-washer-pumps	1651
        pressure-washer-regulators	1652
        pressure-washer-telescoping-wands	1653
        pressure-washer-turbo-nozzles	1654
        pressure-washer-uploaders	1655
        pressure-washer-valves	1656
        pressure-washer-wands	1657

    reciprocating-saw-accessories	1658

    router-accessories	1659
        router-bearings	1660
        router-bit-repair-parts	1661

        router-bits	1662

            door-and-window-router-bits	1663
                2-plus-2-raised-rail-panel-router-bits	1664
                2-plus-2-raised-rail-panel-router-bits-with-backcutters	1665
                door-lip-router-bits	1666
                drawer-front-router-bits	1667
                finger-pull-door-lip-router-bits	1668
                french-provincial-raised-panel-router-bits	1669
                one-piece-rail-and-stile-router-bits	1670
                rail-and-stile-profile-router-bits	1671
                vertical-raised-panel-router-bits	1672
                window-sash-and-rail-router-bits	1673

            edge-treatment-and-grooving-router-bits	1674
                chamfer-router-bits	1675

                classical-bead-router-bits	1676
                    bold-classical-router-bits	1677
                    corner-beading-router-bits	1678
                    table-top-classical-bold-router-bits	1679
                    table-top-classical-router-bits	1680
                    traditional-beading-router-bits	1681

                cove-router-bits	1682
                    classical-cove-router-bits	1683
                    cove-and-fillet-router-bits	1684
                    cove-router-bits-with-steel-pilots	1685

                crown-molding-router-bits	1686
                decorative-edge-router-bits	1687

                decorative-grooving-router-bits	1688
                    classical-beading-groove-router-bits	1689
                    cove-and-bead-groove-router-bits	1690
                    ogee-groove-router-bits	1691
                    ovolo-router-bits	1692
                    standard-ogee-groove-router-bits	1693
                    top-bearing-classical-cove-and-bead-groove-router-bits	1694
                    top-bearing-cove-and-bead-groove-router-bits	1695
                    top-bearing-double-cove-groove-router-bits	1696
                    top-bearing-fillet-ogee-groove-router-bits	1697
                    v-grooving-router-bits	1698

                dish-carving-router-bits	1699
                face-molding-router-bits	1700

                flute-router-bits	1701
                    triple-beading-and-flute-router-bits	1702
                    triple-beading-router-bits	1703

                half-round-router-bits	1704
                    half-round-router-bits-with-bearings	1705

                key-hole-and-t-slot-router-bits	1706
                lettering-router-bits	1707
                multiprofile-router-bits	1708
                round-nose-router-bits	1709

                rounding-over-and-beading-router-bits	1710
                    beading-router-bit-with-steel-points	1711
                    beading-router-bits	1712
                    combination-rounding-over-router-bits	1713
                    convex-edge-router-bits	1714
                    drop-leaf-table-router-bits	1715
                    rounding-over-router-bits	1716
                    rounding-over-router-bits-with-steel-pilots	1717
                    variable-corner-round-router-bits	1718

                table-edge-and-handrail-router-bits	1719
                v-veining-router-bits	1720

            joinery-router-bits	1721
                canoe-router-bits	1722

                dovetail-and-spline-router-bits	1723
                    butterfly-spline-router-bits	1724
                    dovetail-router-bits	1725

                drawer-lock-router-bits	1726
                finger-and-v-joint-router-bits	1727
                lock-miter-router-bits	1728
                rabbeting-router-bits	1729
                reversible-glue-joint-router-bits	1730

                slotting-cutters	1731
                    four-wing-slotting-cutters	1732
                    slotting-cutter-arbors	1733
                    three-wing-slotting-cutters	1734
                    two-wing-slotting-cutters	1735

                tongue-and-groove-router-bits	1736
                v-panel-router-bits	1737

            solid-surface-router-bits	1738
                bevel-bowl-router-bits	1739
                inlay-router-bits	1740
                no-drip-edge-router-bits	1741
                ogee-bowl-router-bits	1742
                round-over-bowl-router-bits	1743
                wavy-joint-router-bits	1744

            spiral-router-bits	1745
                down-spiral-router-bits	1746
                up-spiral-router-bits	1747

            straight-router-bits	1748
                compression-router-bits	1749
                double-flute-straight-router-bits	1750
                mortising-router-bits	1751
                panel-pilot-router-bits	1752
                single-flute-straight-router-bits	1753

            trim-router-bits	1754

                flush-and-bevel-trim-router-bits	1755
                    flush-trim-v-groove-router-bits	1756
                    insert-bevel-trim-router-bits	1757
                    insert-flush-trim-router-bits	1758

                flush-trim-router-bits	1759
                    bearing-flush-trim-router-bits	1760
                    bevel-trim-router-bits	1761
                    solid-carbide-flush-trim-router-bits	1762
                    top-bearing-flush-trim-router-bits	1763

                laminate-miter-joint-router-bits	1764

        router-collets	1765
        router-tables	1766
        router-templates	1767

    saw-fences	1768
        band-saw-fences	1769
        circular-saw-fences	1770
        miter-saw-fences	1771
        table-saw-fences	1772

    saw-gauges	1773
        measuring-gauges	1774

        miter-gauges	1775
            band-saw-miter-gauges	1776
            shaper-miter-gauges	1777
            table-saw-miter-gauges	1778

    saw-guides	1779
    sawmill-accessories	1780

    screwdriver-bits	1781
        double-ended-screwdriver-bits	1782
        screwdriver-insert-tips	1783
        screwdriver-power-bits	1784
        screwdriver-power-drivers	1785

    scroll-saw-accessories	1786

    shaper-accessories	1787
        shaper-cutters	1788
        shaper-profile-knives	1789

    shop-vacuum-and-dust-collector-accessories	1790
    table-saw-accessories	1791

    vacuum-and-dust-collector-accessories	1792
        vacuum-dust-bags	1793

        vacuum-filters	1794
            vacuum-filters-canister	1795
            vacuum-filters-handheld	1796
            vacuum-filters-upright	1797
            vacuum-filters-wet-dry	1798

        vacuum-fittings	1799
            vacuum-fittings-canister	1800
            vacuum-fittings-handheld	1801
            vacuum-fittings-upright	1802
            vacuum-fittings-wet-dry	1803

        vacuum-hoses	1804
            vacuum-hoses-canister	1805
            vacuum-hoses-handheld	1806
            vacuum-hoses-wet-dry	1807

        vacuum-separators	1808

    water-pump-accessories	1809
        water-pump-adapters	1810
        water-pump-couplers	1811
        water-pump-hoses	1812

rubberized-abrasives	1813
safety-switches	1814
tool-and-hardware-gift-certificates	1815
tungsten-vanadium-steel-burs	1816

Power Tools	optgroup

inverter-power-generators	1817

power-tools	1818

    air-compressors	1819
        automotive-air-compressors	1820
        hot-dog-tank-air-compressors	1821
        pancake-tank-air-compressors	1822
        stacked-tank-air-compressors	1823
        two-stage-air-compressors	1824
        wheelbarrow-tank-air-compressors	1825

    drill-presses	1826
        power-boring-machines	1827
        power-magnetic-drill-presses	1828
        power-mortisers	1829

    electric-walk-behind-concrete-saws	1830
    engines	1831
    power-beam-cutters	1832
    power-bit-sharpeners	1833
    power-blow-guns	1834
    power-carpet-irons	1835
    power-caulking-guns	1836
    power-chisels	1837

    power-compaction-equipment	1838
        power-plate-compactors	1839
        power-rammers	1840

    power-concrete-mixers	1841
    power-concrete-vibrators	1842
    power-drills	1843

        power-core-drills	1844
        power-hammer-drills	1845
        power-pistol-grip-drills	1846
        power-right-angle-drills	1847

    power-generators	1848

        portable-power-generators	1849
        pto-generators	1850
        standby-power-generators	1851

    power-glue-guns	1852
    power-grinders	1853

        power-angle-grinders	1854
        power-bench-grinders	1855
        power-straight-grinders	1856

    power-heat-guns	1857
    power-impact-drivers	1858
    power-impact-wrenches	1859
    power-jointers	1860

    power-lathes	1861
        power-metal-lathes	1862
        power-wood-lathes	1863

    power-milling-machines	1864

    power-nailers	1865
        power-brad-nailers	1866
        power-finish-nailers	1867
        power-flooring-nailers	1868
        power-framing-nailers	1869
        power-palm-nailers	1870
        power-pinners	1871
        power-roofing-nailers	1872
        power-siding-nailers	1873

    power-nibblers	1874
    power-paint-removers	1875
    power-planers	1876
    power-plasma-cutters	1877
    power-plate-joiners	1878
    power-pocket-cutters	1879
    power-polishers-and-buffers	1880
    power-ratchet-wrenches	1881
    power-rotary-hammers	1882
    power-rotary-tools	1883

    power-routers	1884
        d-handle-power-routers	1885
        fixed-base-power-routers	1886
        power-laminate-trimmers	1887
        power-plunge-routers	1888

    power-sand-blasters	1889

    power-sanders	1890
        power-belt-sanders	1891
        power-combination-disc-and-belt-sanders	1892
        power-detail-sanders	1893
        power-disc-sanders	1894
        power-drum-sanders	1895
        power-random-orbit-sanders	1896
        power-sheet-sanders	1897
        power-spindle-sanders	1898

    power-saws	1899

        power-band-saws	1900
            power-metal-band-saws	1901
            power-wood-band-saws	1902

        power-chain-saws	1903
        power-circular-saws	1904
        power-jamb-saws	1905
        power-jig-saws	1906
        power-log-splitters	1907
        power-masonry-saws	1908
        power-metal-cutting-saws	1909
        power-miter-saws	1910
        power-panel-saws	1911
        power-radial-arm-saws	1912
        power-reciprocating-saws	1913
        power-scroll-saws	1914
        power-table-saws	1915
        power-tile-saws	1916

    power-screeds	1917
    power-screw-guns	1918
    power-screwdrivers	1919
    power-shapers	1920
    power-shears	1921

    power-soldering-equipment	1922
        soldering-guns	1923
        soldering-irons	1924
        soldering-kits	1925
        soldering-pots	1926
        soldering-stations	1927
        soldering-torches	1928

    power-sprayers	1929

        hvlp-sprayers	1930
        power-paint-sprayers	1931

    power-staplers	1932
        power-construction-staplers	1933
        power-finish-staplers	1934
        power-upholstery-staplers	1935

    power-stock-feeders	1936
    power-texture-guns	1937
    power-tool-combo-packs	1938
    power-trash-pumps	1939
    power-water-pumps	1940

    power-welders	1941

        arc-welding-equipment	1942
            ac-dc-arc-welding-equipment	1943
            arc-welding-accessories	1944
            mig-welding-equipment	1945
            plasma-arc-cutting-equipment	1946
            spot-welding-equipment	1947
            tig-welding-equipment	1948

        gas-welding-equipment	1949
            gas-welding-accessories	1950
            oxyacetylene-torches	1951
            oxypropane-torches	1952
            propane-torches	1953

    pressure-washers	1954
        cold-water-pressure-washers	1955
        hot-water-pressure-washers	1956

    sawmills	1957

    shop-vacuums-and-dust-collectors	1958
        shop-air-cleaners	1959
        shop-dry-vacuums	1960
        shop-dust-collectors	1961
        shop-wet-dry-vacuums	1962

tool-and-hardware-gift-certificates	1963
